Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa
Bonaparte Gulf,-12.18,128.03,-140.01,0.740354645,0.740084455,0,0,0,1654,188,176,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.03,0.893378419,0.893154522,0,0,0,11425,279,203,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.22,0.893378419,0.893154522,0,0,0,10394.5,199.5,203.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.31,0.893378419,0.893154522,0,0,0,21161,302,291,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.43,0.893378419,0.893154522,0,0,0,49.5,231.5,48.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.64,0.893378419,0.893154522,0,0,0,23347.5,336.5,281.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.74,0.893378419,0.893154522,0,0,0,23347.5,336.5,281.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-141.33,0.893378419,0.893154522,0,0,0,24042.5,300.5,265.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-141.66,0.893378419,0.893154522,0,0,0,24049,452,317,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-141.73,0.893378419,0.893154522,0,0,0,24007,289,248,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.03,0.740354645,0.740084455,0,0,0,1105.5,154.5,164.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.22,0.740354645,0.740084455,0,0,0,7848.5,141.5,172.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.45,0.740354645,0.740084455,0,0,0,7269.5,197.5,224.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.54,0.740354645,0.740084455,0,0,0,24159,406,348,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-140.74,0.740354645,0.740084455,0,0,0,24692.5,318.5,365.5,-1,0,1,1,0
Bonaparte Gulf,-12.18,128.03,-141.01,0.740354645,0.740084455,0,0,0,24342.5,400.5,380.5,-1,0,1,1,0
Bonaparte Gulf,-11.73,127.94,-131.91,1.164270158,1.164098364,0,0,0,3281.5,524.5,508.5,-1,0,1,1,0
Bonaparte Gulf,-11.73,127.94,-131.14,1.164270158,1.164098364,0,0,0,17816,2375,2563,-1,0,1,1,0
Bonaparte Gulf,-11.73,127.94,-130.995,1.164270158,1.164098364,0,0,0,19985.5,2408.5,2246.5,-1,0,1,1,0
Bonaparte Gulf,-11.73,127.94,-129.955,1.164270158,1.164098364,0,0,0,21754.5,3372.5,3449.5,-1,0,1,1,0
Bonaparte Gulf,-12.1,127.917,-127.77,1.490981221,1.490847075,0,0,0,10403.5,356.5,275.5,-1,0,1,1,0
Bonaparte Gulf,-12.117,127.934,-126.13,1.490981221,1.490847075,0,0,0,13043.5,288.5,302.5,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-120.4,1.490981221,1.490847075,0,0,0,8253.5,266.5,288.5,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-119.2,1.490981221,1.490847075,0,0,0,19180,669,550,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-118.9,1.490981221,1.490847075,0,0,0,21181,640,519,-1,0,1,1,0
Bonaparte Gulf,-12.167,128.001,-118.6,1.490981221,1.490847075,0,0,0,27336,444,459,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-117.58,1.490981221,1.490847075,0,0,0,12680,395,473,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-116.87,1.490981221,1.490847075,0,0,0,16176,585,569,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-115.73,1.490981221,1.490847075,0,0,0,18647.5,584.5,549.5,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-115.73,1.490981221,1.490847075,0,0,0,18957,488,368,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-115.71,1.490981221,1.490847075,0,0,0,19129.5,499.5,455.5,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-114.8,1.490981221,1.490847075,0,0,0,19968.5,572.5,625.5,-1,0,1,1,0
Bonaparte Gulf,-12.183,128.025,-114.6,1.490981221,1.490847075,0,0,0,20744.5,484.5,406.5,-1,0,1,1,0
Bonaparte Gulf,-12.3,128.167,-109.65,1.490981221,1.490847075,0,0,0,17281.5,533.5,400.5,-1,0,1,1,0
Bonaparte Gulf,-12.3,128.167,-109.6,1.490981221,1.490847075,0,0,0,18386,395,419,-1,0,1,1,0
Bonaparte Gulf,-12.383,128.267,-106.74,1.490981221,1.490847075,0,0,0,16885.5,448.5,474.5,-1,0,1,1,0
Bonaparte Gulf,-12.383,128.267,-106.65,1.490981221,1.490847075,0,0,0,17123.5,613.5,575.5,-1,0,1,1,0
Bonaparte Gulf,-12.383,128.267,-106.56,1.490981221,1.490847075,0,0,0,18276.5,401.5,410.5,-1,0,1,1,0
Bonaparte Gulf,-12.639,128.617,-93.9,1.490981221,1.490847075,0,0,0,12838,384,362,-1,0,1,1,0
Bonaparte Gulf,-12.916,124.482,-129,1.490981221,1.490847075,0,0,0,17109.5,456.5,461.5,-1,0,1,1,0
Bonaparte Gulf,-12.916,124.482,-129,1.490981221,1.490847075,0,0,0,21542,440,508,-1,0,1,1,0
Bonaparte Gulf,-11.208,126.326,-100.13,1.490981221,1.490847075,0,0,0,16921,429,449,-1,0,1,1,0
Bonaparte Gulf,-11.231,128.292,-99.15,1.490981221,1.490847075,0,0,0,16712,481,528,-1,0,1,1,0
Bonaparte Gulf,-12.691,128.809,-93.1622,1.755777292,1.755777292,0,0,0,15214.5,259.5,222.5,-1,0,1,1,0
Bonaparte Gulf,-12.691,128.809,-96.1622,1.755777292,1.755777292,0,0,0,21580,301,279,-1,0,1,1,0
Bonaparte Gulf,-12.795,128.951,-85.3638,1.897848102,1.897848102,0,0,0,13887,197,198,-1,0,1,1,0
Bonaparte Gulf,-12.795,128.951,-85.3638,1.897848102,1.897848102,0,0,0,14477,350,295,-1,0,1,1,0
Bonaparte Gulf,-12.795,128.951,-85.3638,1.897848102,1.897848102,0,0,0,15013.5,260.5,254.5,-1,0,1,1,0
Bonaparte Gulf,-10.45,129.695,-109.1371,1.359607058,1.359607058,0,0,0,20687.5,229.5,245.5,-1,0,1,1,0
Cambridge Gulf,-15.28,128.32,6.004,4.254206624,4.254206624,0,0,0,7549,286,119,0,0,1,2,0
Cambridge Gulf,-15.28,128.32,6.004,4.254206624,4.254206624,0,0,0,7548.5,199.5,218.5,0,0,1,2,0
Cambridge Gulf,-15.28,128.32,5.404,4.254206624,4.254206624,0,0,0,7028,536,577,0,0,1,2,0
Bonaparte Gulf,-14.86,129.03,0.3081,0.91769761,0.917479647,0,0,0,2817,329,296,1,0,1,2,0
Bonaparte Gulf,-14.86,129.03,0.5581,0.91769761,0.917479647,0,0,0,2205.5,497.5,888.5,1,0,1,2,0
Bonaparte Gulf,-14.86,129.03,-0.886,1.709846192,1.709729218,0,0,0,7053,374,410,0,0,1,2,0
Bonaparte Gulf,-14.86,129.03,0.3081,0.91769761,0.917479647,0,0,0,1039,269,241,1,0,1,2,0
Bonaparte Gulf,-14.86,129.03,0.7581,0.91769761,0.917479647,0,0,0,1339,470,161,1,0,1,2,0
Bonaparte Gulf,-14.86,129.03,0.114,1.709846192,1.709729218,0,0,0,7090,330,140,0,0,1,2,0
Kimberley Coast,-15.57,128.14,0.52335,2.583694363,2.583616954,0,0,0,1709,24,89,0,0,1,2,0
Kimberley Coast,-15.57,128.14,-0.39665,2.583694363,2.583616954,0,0,0,7368,61,92,0,0,1,2,0
Kimberley Coast,-15.57,128.14,-0.81165,2.583694363,2.583616954,0,0,0,7422,138,102,0,0,1,2,0
Kimberley Coast,-15.57,128.14,-2.17165,2.583694363,2.583616954,0,0,0,7477,98,145,0,0,1,2,0
Kimberley Coast,-15.57,128.14,-3.01165,2.583694363,2.583616954,0,0,0,8241,176,225,0,0,1,2,0
Kimberley Coast,-15.57,128.14,-5.05165,2.583694363,2.583616954,0,0,0,7701,134,119,0,0,1,2,0
Kimberley Coast,-15.49,128.104,0.53335,2.430344947,2.430262653,0,0,0,910,48,107,0,0,1,2,0
Kimberley Coast,-15.49,128.104,-0.16665,2.430344947,2.430262653,0,0,0,6234,70,214,0,0,1,2,0
Kimberley Coast,-15.49,128.104,-0.87665,2.430344947,2.430262653,0,0,0,6360,84,66,0,0,1,2,0
Kimberley Coast,-15.49,128.104,-1.73165,2.430344947,2.430262653,0,0,0,6698,91,133,0,0,1,2,0
Kimberley Coast,-15.49,128.104,-2.69165,2.430344947,2.430262653,0,0,0,6720,160,155,0,0,1,2,0
Kimberley Coast,-15.549,128.256,2.60335,3.729152258,3.729098626,0,0,0,604,42,69,0,0,1,2,0
Kimberley Coast,-15.549,128.256,2.27835,3.729152258,3.729098626,0,0,0,3385,180,201,0,0,1,2,0
Kimberley Coast,-15.549,128.256,0.63335,3.729152258,3.729098626,0,0,0,7495,74,67,0,0,1,2,0
Kimberley Coast,-15.549,128.256,0.13835,3.729152258,3.729098626,0,0,0,7441,125,121,0,0,1,2,0
Kimberley Coast,-15.549,128.256,-0.70165,3.729152258,3.729098626,0,0,0,7595,75,84,0,0,1,2,0
Bonaparte Gulf,-14.496,127.946,-20.7669,3.573299442,3.573299442,0,0,0,6404,239,237,-1,0,1,2,0
Kimberley Coast,-16.15,123.61,-6.294,7.418451927,7.418451927,0,0,0,1696.5,182.5,167.5,2,0,2,3,8
Kimberley Coast,-16.15,123.61,1.613,8.76261542,8.76261542,0,0,0,2279,203,187,2,0,2,3,1
Kimberley Coast,-16.15,123.61,0.663,8.76261542,8.76261542,0,0,0,2403,253,159,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-0.757,8.76261542,8.76261542,0,0,0,2883,187,156,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-2.667,8.76261542,8.76261542,0,0,0,2883,187,156,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-2.177,10.61995428,10.61995428,0,0,0,2928,199,170,2,0,2,3,0
Kimberley Coast,-16.15,123.61,4.763,9.221357221,9.221357221,0,0,0,3183,177,196,2,0,2,3,4
Kimberley Coast,-16.15,123.61,2.623,8.76261542,8.76261542,0,0,0,3525.5,195.5,167.5,2,0,2,3,1
Kimberley Coast,-16.15,123.61,1.553,8.76261542,8.76261542,0,0,0,3739.5,180.5,207.5,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-0.357,8.76261542,8.76261542,0,0,0,4783.5,187.5,208.5,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-1.956,8.76261542,8.76261542,0,0,0,5227,200,214,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-4.23,8.76261542,8.76261542,0,0,0,7699,164,146,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-6.257,8.76261542,8.76261542,0,0,0,7868,135,175,2,0,2,3,1
Kimberley Coast,-16.15,123.61,-10.087,6.146822675,6.146822675,0,0,0,8107.5,182.5,149.5,2,0,2,3,3
Kimberley Coast,-16.15,123.61,-9.117,6.559986966,6.559986966,0,0,0,8247.5,149.5,194.5,2,0,2,3,5
Kimberley Coast,-16.15,123.61,-12.087,6.146822675,6.146822675,0,0,0,8680.5,273.5,198.5,2,0,2,3,3
Kimberley Coast,-16.41,123.123,2.8,8.76261542,8.76261542,0,0,0,7242,76,78,2,0,2,3,1
Kimberley Coast,-16.41,123.123,7.5,8.76261542,8.76261542,0,0,0,1722,103,110,2,0,2,3,1
Kimberley Coast,-16.41,123.123,-1,3.575392146,3.575392146,0,0,0,2734,42,216,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-0.1,3.575392146,3.575392146,0,0,0,5039,241,166,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-1.6,3.575392146,3.575392146,0,0,0,5461,119,137,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-0.7,3.575392146,3.575392146,0,0,0,2464,235,114,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-5.6,3.575392146,3.575392146,0,0,0,7298,122,127,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-8.4,3.575392146,3.575392146,0,0,0,7683,98,73,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,3.7,8.76261542,8.76261542,0,0,0,5512,73,183,2,0,2,3,1
Kimberley Coast,-16.41,123.123,-0.2,3.575392146,3.575392146,0,0,0,1206,64,132,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-1.2,3.575392146,3.575392146,0,0,0,2954,119,102,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-1.9,3.575392146,3.575392146,0,0,0,1224,62,116,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,4.9,8.76261542,8.76261542,0,0,0,2782,70,40,2,0,2,3,2
Kimberley Coast,-16.407,123.186,-2.8,3.575392146,3.575392146,0,0,0,3400,53,128,-1,0,2,3,3
Kimberley Coast,-16.407,123.186,4.6,8.76261542,8.76261542,0,0,0,1475,81,97,2,0,2,3,1
Kimberley Coast,-16.407,123.186,2.2,8.76261542,8.76261542,0,0,0,6688,96,126,2,0,2,3,1
Kimberley Coast,-16.407,123.186,-2.8,3.575392146,3.575392146,0,0,0,2855,98,81,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,-2.6,3.575392146,3.575392146,0,0,0,4665,156,140,-1,0,2,3,0
Kimberley Coast,-16.079,123.525,3.2,8.76261542,8.76261542,0,0,0,2338,148,185,2,0,2,3,1
Kimberley Coast,-16.079,123.534,6.8,7.418451927,7.418451927,0,0,0,645,34,82,2,0,2,3,8
Kimberley Coast,-16.079,123.534,4.6,7.418451927,7.418451927,0,0,0,2767,80,38,2,0,2,3,8
Kimberley Coast,-16.079,123.534,1.9,8.76261542,8.76261542,0,0,0,3236,119,156,2,0,2,3,1
Kimberley Coast,-16.079,123.534,4.8,8.76261542,8.76261542,0,0,0,2234,101,96,2,0,2,3,1
Kimberley Coast,-16.079,123.534,-1.3,3.575392146,3.575392146,0,0,0,1964,86,74,-1,0,2,3,0
Kimberley Coast,-16.079,123.534,-1.8,3.575392146,3.575392146,0,0,0,2896,99,115,-1,0,2,3,0
Kimberley Coast,-16.079,123.534,-2.7,3.575392146,3.575392146,0,0,0,3372,75,119,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,15.4,14.44934009,14.44934009,0,0,0,3875,105,151,2,0,2,3,7
Kimberley Coast,-16.41,123.123,8.4,11.56647868,11.56647868,0,0,0,6474,150,78,2,0,2,3,6
Kimberley Coast,-16.41,123.123,16,14.44934009,14.44934009,0,0,0,120,157,119,2,0,2,3,7
Kimberley Coast,-16.41,123.123,0.2,3.575392146,3.575392146,0,0,0,392,95,78,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,-0.2,3.575392146,3.575392146,0,0,0,606,46,61,-1,0,2,3,0
Kimberley Coast,-16.41,123.123,13,14.44934009,14.44934009,0,0,0,96,164,95,2,0,2,3,7
Kimberley Coast,-16.41,123.123,-1.1,3.575392146,3.575392146,0,0,0,70,182,66,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,14,14.44934009,14.44934009,0,0,0,91,164,90,2,0,2,3,7
Kimberley Coast,-16.407,123.186,12.9,14.44934009,14.44934009,0,0,0,1524,60,99,2,0,2,3,7
Kimberley Coast,-16.407,123.186,14.2,14.44934009,14.44934009,0,0,0,61,190,56,2,0,2,3,7
Kimberley Coast,-16.407,123.186,-4.7,3.575392146,3.575392146,0,0,0,4477,132,164,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,-5.5,3.575392146,3.575392146,0,0,0,4840,118,192,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,4,7.418451927,7.418451927,0,0,0,4946,311,95,2,0,2,3,8
Kimberley Coast,-16.407,123.186,-1.2,3.575392146,3.575392146,0,0,0,524,23,24,-1,0,2,3,0
Kimberley Coast,-16.407,123.186,14.2,14.44934009,14.44934009,0,0,0,56,195,50,2,0,2,3,7
Kimberley Coast,-16.407,123.186,13.4,14.44934009,14.44934009,0,0,0,1407,109,88,2,0,2,3,7
Kimberley Coast,-16.06,123.548,-0.8,3.575392146,3.575392146,0,0,0,96,164,95,-1,0,2,3,0
Kimberley Coast,-16.06,123.548,7,8.76261542,8.76261542,0,0,0,109,166,108,2,0,2,3,1
Kimberley Coast,-16.06,123.548,-1.8,3.575392146,3.575392146,0,0,0,505,33,50,-1,0,2,3,3
Kimberley Coast,-16.056,123.547,8.2,7.418451927,7.418451927,0,0,0,109,166,108,2,0,2,3,8
Kimberley Coast,-16.056,123.547,15.5,14.44934009,14.44934009,0,0,0,96,164,95,2,0,2,3,7
Kimberley Coast,-16.056,123.547,-1.2,3.575392146,3.575392146,0,0,0,283,152,136,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,-0.7,3.575392146,3.575392146,0,0,0,391,93,84,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,-1,3.575392146,3.575392146,0,0,0,399,92,76,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,5.8,8.76261542,8.76261542,0,0,0,53,197,46,2,0,2,3,1
Kimberley Coast,-16.056,123.547,-2.4,3.575392146,3.575392146,0,0,0,541,84,32,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,15.3,14.44934009,14.44934009,0,0,0,61,190,56,2,0,2,3,7
Kimberley Coast,-16.056,123.547,13.2,14.44934009,14.44934009,0,0,0,193,107,192,2,0,2,3,7
Kimberley Coast,-16.056,123.547,11.9,14.44934009,14.44934009,0,0,0,391,93,84,2,0,2,3,7
Kimberley Coast,-16.056,123.547,-6.1,3.575392146,3.575392146,0,0,0,461,43,134,-1,0,2,3,0
Kimberley Coast,-16.056,123.547,-0.7,3.575392146,3.575392146,0,0,0,80,173,76,-1,0,2,3,3
Kimberley Coast,-16.058,123.544,-2,3.575392146,3.575392146,0,0,0,294,145,143,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.7,3.575392146,3.575392146,0,0,0,388,64,89,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-6,3.575392146,3.575392146,0,0,0,509,32,38,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-0.7,3.575392146,3.575392146,0,0,0,87,166,84,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.6,3.575392146,3.575392146,0,0,0,532,88,30,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-6.4,3.575392146,3.575392146,0,0,0,604,61,46,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-0.5,3.575392146,3.575392146,0,0,0,80,173,76,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.4,3.575392146,3.575392146,0,0,0,516,25,20,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-6.4,3.575392146,3.575392146,0,0,0,954,99,32,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-0.7,3.575392146,3.575392146,0,0,0,56,195,50,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-3.2,3.575392146,3.575392146,0,0,0,605,45,64,-1,0,2,3,0
Kimberley Coast,-16.058,123.544,-4.6,3.575392146,3.575392146,0,0,0,743,50,63,-1,0,2,3,0
Kimberley Coast,-17.026,123.59,-1.7282,4.97781422,4.977774042,0,0,0,6978,280,303,0,0,1,4,0
Canning Coast,-18.91,121.66,0.761,3.976986313,3.976484112,0,0,0,4444,80,146,0,0,1,4,0
Canning Coast,-18.91,121.66,0.0543,3.046071004,3.044650975,0,0,0,7024,135,122,0,0,1,4,0
Canning Coast,-18.91,121.66,-1.4357,3.045250026,3.044650975,0,0,0,7366,61,85,0,0,1,4,0
Canning Coast,-18.91,121.66,0.6043,3.045464779,3.044650975,0,0,0,6943,211,144,0,0,1,4,0
Canning Coast,-18.91,121.66,0.1043,3.04618939,3.044650975,0,0,0,7267,146,101,0,0,1,4,0
Canning Coast,-18.91,121.66,-1.559,3.978608537,3.976484112,0,0,0,6233,151,224,0,0,1,4,0
Kimberley Coast,-17.026,123.59,-2.8032,4.97781422,4.977774042,0,0,0,6799,456,443,0,0,1,4,0
Kimberley Coast,-17.026,123.59,-2.8032,4.97781422,4.977774042,0,0,0,7755,453,460,0,0,1,4,0
Kimberley Coast,-17.026,123.59,-2.5032,4.97781422,4.977774042,0,0,0,6607,276,286,0,0,1,4,0
Kimberley Coast,-17.026,123.59,-2.4282,4.97781422,4.977774042,0,0,0,6868,376,361,0,0,1,4,0
Kimberley Coast,-17.026,123.59,-3.9832,4.97781422,4.977774042,0,0,0,6993,429,432,0,0,1,4,0
Kimberley Coast,-17.026,123.59,-3.9832,4.97781422,4.977774042,0,0,0,8175,201,200,0,0,1,4,0
Northwest Shelf,-18.3,119.1,-123.0231,1.310938065,1.310938065,0,0,0,12608,159,191,-1,0,1,5,0
Northwest Shelf,-18.3,119.1,-123.0231,1.310938065,1.310938065,0,0,0,13558,229,238,-1,0,1,5,0
Northwest Shelf,-18.3,119.1,-123.0231,1.310938065,1.310938065,0,0,0,14216,410,349,-1,0,1,5,0
Northwest Shelf,-18.4,119.95,-108.0374,1.311267997,1.311267997,0,0,0,13710,290,250,-1,0,1,5,0
Northwest Shelf,-18.4,119.95,-108.0374,1.311267997,1.311267997,0,0,0,15071,376,350,-1,0,1,5,0
Northwest Shelf,-18.4,119.95,-108.0374,1.311267997,1.311267997,0,0,0,15295,355,345,-1,0,1,5,0
Northwest Shelf,-17.03,117.95,-124.0084,1.310761443,1.310761443,0,0,0,13444,250,227,-1,0,1,5,0
Northwest Shelf,-17.03,117.95,-124.0084,1.310761443,1.310761443,0,0,0,14301,450,298,-1,0,1,5,0
Northwest Shelf,-17.03,117.95,-124.0084,1.310761443,1.310761443,0,0,0,15396,316,307,-1,0,1,5,0
Northwest Shelf,-18.09,119.7,-148.028,1.311033562,1.311033562,0,0,0,9645,218,160,-1,0,1,5,0
Northwest Shelf,-20.129,115.039,-141.2802,0.726563034,0.726563034,0,0,0,16874,209,240,-1,0,1,5,0
Northwest Shelf,-20.129,115.039,-140.3002,0.726563034,0.726563034,0,0,0,23665,192,278,-1,0,1,5,0
Northwest Shelf,-20.129,115.039,-141.3202,0.726563034,0.726563034,0,0,0,19516,286,259,-1,0,1,5,0
Northwest Shelf,-20.129,115.039,-140.4002,0.726563034,0.726563034,0,0,0,23307,327,265,-1,0,1,5,0
Northwest Shelf,-20.129,115.039,-141.9102,0.726563034,0.726563034,0,0,0,13458,202,196,-1,0,1,5,0
Northwest Shelf,-20.129,115.039,-147.5702,0.726563034,0.726563034,0,0,0,13661,157,177,-1,0,1,5,0
Ningaloo Reef,-21.959,114.148,-0.86,1.829781408,1.829672102,0,0,0,6681,23,23,0,0,1,6,0
Ningaloo Reef,-21.959,114.148,-1.39,1.448481964,1.448343882,0,0,0,7253,86,86,0,0,1,6,0
Ningaloo Reef,-21.959,114.148,-3.83,1.448481964,1.448343882,0,0,0,7500,23,23,0,0,1,6,0
Ningaloo Reef,-21.959,114.147,1.34,1.448481964,1.448343882,0,0,0,6427,62,62,0,0,1,6,0
Ningaloo Reef,-21.959,114.147,-2.01,1.448481964,1.448343882,0,0,0,7498,80,80,0,0,1,6,0
Ningaloo Reef,-21.959,114.146,1.01,1.448481964,1.448343882,0,0,0,6336,161,161,0,0,1,6,0
Ningaloo Reef,-21.959,114.146,-2.34,1.047902667,1.047711792,0,0,0,6998,30,30,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-1.11,1.448481964,1.448343882,0,0,0,7143,46,46,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-2.81,1.448481964,1.448343882,0,0,0,7929,318,318,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-0.55,1.448481964,1.448343882,0,0,0,7000,24,24,0,0,1,6,0
Ningaloo Reef,-21.959,114.145,-2.7,1.448481964,1.448343882,0,0,0,7562,35,35,0,0,1,6,0
Ningaloo Reef,-21.959,114.144,0.94,1.448481964,1.448343882,0,0,0,5800,76,76,0,0,1,6,0
Ningaloo Reef,-21.959,114.144,-0.49,1.448481964,1.448343882,0,0,0,6779,44,44,0,0,1,6,0
Ningaloo Reef,-21.959,114.144,-2.61,1.448481964,1.448343882,0,0,0,7165,51,51,0,0,1,6,0
Ningaloo Reef,-21.957,114.143,0.27,1.829781408,1.829672102,0,0,0,6519,24,24,0,0,1,6,0
